word	level	pinyin	gloss
# The 410 chengyu of the official HSK 3.1 syllabus, tagged with the band
# each is actually assigned. Note 393 of them sit at HSK7-9: real chengyu
# are advanced vocabulary, so a low-level book's cap correctly hides them.
# Everyday multi-word constructions for lower levels live in expressions.tsv.
# Generated from @leonsilicon/hsk3.1 + CC-CEDICT; see build_hsk_list.py.
一丝不苟	HSK7-9	yī sī bù gǒu	not one thread loose (idiom); strictly according to the rules; meticulous
一举一动	HSK7-9	yī jǔ yī dòng	(idiom) every movement; each and every move
一举两得	HSK7-9	yī jǔ liǎng dé	lit. one action, two gains (idiom); fig. two birds with one stone
一事无成	HSK7-9	yī shì wú chéng	(idiom) to have achieved nothing; to be a total failure; to get nowhere
一塌糊涂	HSK7-9	yī tā hú tu	muddled and completely collapsing (idiom); in an awful condition; complete shambles
一如既往	HSK7-9	yī rú jì wǎng	(idiom) just as in the past; as before; continuing as always
一帆风顺	HSK6	yī fān fēng shùn	propitious wind throughout the journey (idiom); plain sailing
一干二净	HSK7-9	yī gān èr jìng	thoroughly (idiom); completely
一应俱全	HSK7-9	yī yīng jù quán	with everything needed available
一心一意	HSK7-9	yī xīn yī yì	concentrating one's thoughts and efforts; single-minded
一成不变	HSK7-9	yī chéng bù biàn	(idiom) immutable; impervious to change; set in stone
一技之长	HSK7-9	yī jì zhī cháng	proficiency in a particular field (idiom); skill in a specialized area (idiom)
一无所有	HSK7-9	yī wú suǒ yǒu	not having anything at all (idiom); utterly lacking; without two sticks to rub together
一无所知	HSK7-9	yī wú suǒ zhī	(idiom) not knowing anything at all; completely ignorant
一概而论	HSK7-9	yī gài ér lùn	to lump different matters together (idiom)
一模一样	HSK6	yī mú yī yàng	(idiom) exactly alike; identical; also pr. [yi1mo2-yi1yang4]
一毛不拔	HSK7-9	yī máo bù bá	lit. unwilling to spare a single hair (idiom); fig. extremely stingy
一目了然	HSK7-9	yī mù liǎo rán	obvious at a glance (idiom)
一筹莫展	HSK7-9	yī chóu mò zhǎn	to be unable to find a solution; to be at wits' end
一言一行	HSK7-9	yī yán yī xíng	every word and action (idiom)
一言不发	HSK7-9	yī yán bù fā	to not say a word (idiom)
一路顺风	HSK5	yī lù shùn fēng	to have a pleasant journey (idiom)
一针见血	HSK7-9	yī zhēn jiàn xiě	lit. to draw blood on the first prick (idiom); fig. to hit the nail on the head
一鼓作气	HSK7-9	yī gǔ zuò qì	in a spurt of energy
七嘴八舌	HSK7-9	qī zuǐ bā shé	lively discussion with everybody talking at once
万无一失	HSK7-9	wàn wú yī shī	surefire; absolutely safe (idiom)
三番五次	HSK7-9	sān fān wǔ cì	over and over again (idiom)
不了了之	HSK7-9	bù liǎo liǎo zhī	to settle a matter by leaving it unsettled; to end up with nothing definite
不亦乐乎	HSK7-9	bù yì lè hū	lit. isn't that a joy? (quote from Confucius); fig. (jocular) extremely; awfully
不以为然	HSK7-9	bù yǐ wéi rán	not to accept as correct (idiom); to object; to disapprove
不假思索	HSK7-9	bù jiǎ sī suǒ	(idiom) to act without taking time to think; to react instantly; to fire from the hip
不厌其烦	HSK7-9	bù yàn qí fán	not to mind taking all the trouble (idiom); to take great pains
不可思议	HSK7-9	bù kě sī yì	(idiom) inconceivable; unimaginable; unfathomable
不好意思	HSK2	bù hǎo yì si	to feel embarrassed; to find it embarrassing
不得而知	HSK7-9	bù dé ér zhī	unknown; unable to find out
不折不扣	HSK7-9	bù zhé bù kòu	a hundred percent; to the letter
不正之风	HSK7-9	bù zhèng zhī fēng	unhealthy tendency
不由自主	HSK7-9	bù yóu zì zhǔ	(idiom) can't help but; involuntarily
不相上下	HSK7-9	bù xiāng shàng xià	equally matched; about the same
不知不觉	HSK7-9	bù zhī bù jué	(idiom) unconsciously; unwittingly
不知所措	HSK7-9	bù zhī suǒ cuò	not knowing what to do (idiom); at one's wits' end; embarrassed and at a complete loss
不约而同	HSK7-9	bù yuē ér tóng	(idiom) (of two or more people) to take the same action without prior consultation; (usu. used adverbially)...
不翼而飞	HSK7-9	bù yì ér fēi	to disappear without trace; to vanish all of a sudden
不耻下问	HSK7-9	bù chǐ xià wèn	not feel ashamed to ask and learn from one's subordinates
不言而喻	HSK7-9	bù yán ér yù	it goes without saying; it is self-evident
不辞而别	HSK7-9	bù cí ér bié	to leave without saying good-bye
与众不同	HSK7-9	yǔ zhòng bù tóng	(idiom) to stand out from the crowd; distinctive; different from the rest
与日俱增	HSK7-9	yǔ rì jù zēng	to increase steadily; to grow with each passing day
东奔西走	HSK7-9	dōng bēn xī zǒu	to run this way and that (idiom); to rush about busily; to bustle about
东张西望	HSK7-9	dōng zhāng xī wàng	to look in all directions (idiom); to glance around
丢三落四	HSK7-9	diū sān là sì	forgetful; empty-headed
丰富多彩	HSK5	fēng fù duō cǎi	richly colorful
